address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan Cheras Intan Utama, 43200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.072998,https://www.iproperty.com.my/property/cheras-intan-cheras-5546729,101.774192,"Cheras Intan, Cheras","RM 265,000",Low,750 sq. ft.,Freehold
"Jalan 6/95B, Taman Cheras, Cheras, 56100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.10169,https://www.iproperty.com.my/property/ketumbar-heights-cheras-5516569,101.75051,"Ketumbar Heights, Cheras","RM 295,000",Low,755 sq. ft.,Freehold
"Mont Kiara, KL, Kuala Lumpur","4+1 Bedroom(s),5 Bathroom(s),3 Parking Bay(s)",0,https://www.iproperty.com.my/property/10-mont-kiara-%40-mk10-mont-kiara-5571812,0,"10 Mont Kiara @ Mk10, Mont Kiara","RM 10,000",Low,"3,668 sq. ft.",Freehold
"Jalan Langkawi, Setapak, 53300, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.200666,https://www.iproperty.com.my/property/teratai-mewah-apartment-block-4--6-setapak-5424785,101.708336,"Teratai Mewah Apartment Block 4 & 6, Setapak","RM 215,000",Low,653 sq. ft.,Freehold
"Persiaran Meranti, PJU 9, 52200, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.181858,https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5574965,101.611623,"Sd Apartments, Bandar Sri Damansara, Petaling..","RM 280,000",Low,811 sq. ft.,Freehold
"Jalan Gombak, Taman Ibukota,, 53100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.212203,https://www.iproperty.com.my/property/idaman-sutera-setapak-5200416,101.70795,"Idaman Sutera, Setapak","RM 280,000",Low,845 sq. ft.,Freehold
"Jalan Gombak, Taman Ibukota,, 53100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.235076,https://www.iproperty.com.my/property/idaman-sutera-setapak-5497770,101.714503,"Idaman Sutera, Setapak","RM 270,000",Low,845 sq. ft.,Freehold
"Jalan 9, Off Taman Len Seng, Cheras, 43200, Kuala Lumpur","2 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.076087,https://www.iproperty.com.my/property/maxim-residences-cheras-5555886,101.742372,"Maxim Residences, Cheras","RM 298,000",Low,620 sq. ft.,Freehold
"Jalan Aman, Desa Aman Puri, 52100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.211559,https://www.iproperty.com.my/property/aman-puri-apartment-kepong-5496612,101.612592,"Aman Puri Apartment, Desa Aman Puri, Kepong","RM 299,000",Low,850 sq. ft.,Freehold
"Persiaran Meranti, PJU 9, 52200, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.188376,https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5441186,101.604308,"Sd Apartments, Bandar Sri Damansara, Petaling..","RM 280,000",Low,811 sq. ft.,Freehold
