address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"taman asas, Selangor","4 Bedroom(s),2 Bathroom(s)",2.796412,https://www.iproperty.com.my/property/semi-detached-house-banting-premium-5522909,101.513908,"Taman Asas, Banting","RM 380,000",High,"1,056 sq. ft.",Freehold
Selangor,"3 Bedroom(s),2 Bathroom(s)",3.231699,https://www.iproperty.com.my/property/oasis-1-kajang-4023886,101.684647,"Oasis 1, Mutiara Heights, Kajang","RM 377,360",High,"1,250 sq. ft.",Freehold
"sasaran jeram, 45800, Selangor","4 Bedroom(s),3 Bathroom(s)",3.257203,https://www.iproperty.com.my/property/2-sty-terrace-link-house-kuala-selangor-premium-5495721,101.308322,"Sasaran Jeram, Kuala Selangor","RM 373,000",High,"2,077 sq. ft.",Freehold
"Jalan medan putra, Bandar Manjalara, Kuala Lumpur, 52100, Ku...","3+1 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.211229,https://www.iproperty.com.my/property/avelon-tower-plaza-medan-putra-kepong-5187272,101.638505,"Avelon Tower, Plaza Medan Putra, Bandar Menja..","RM 355,000",High,808 sq. ft.,Freehold
"Plaza Medan Putra,Jln Putra Medan 6,Bdr Menjalara, 52200, Ku...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.191454,https://www.iproperty.com.my/property/beverly-2-kepong-4785674,101.623975,"Beverly 2, Bandar Menjalara, Kepong","RM 355,000",High,808 sq. ft.,Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.075766,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-5462324,101.664367,"Oug Parklane, Old Klang Road","RM 380,000",High,950 sq. ft.,Freehold
"Jalan Kampung Bandar Dalam, 51000 Sentul, 51000, Kuala Lumpu...","3+1 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.200291,https://www.iproperty.com.my/property/sri-suajaya-condominium-sentul-4830897,101.69103,"Sri Suajaya Condominium, Sentul","RM 375,000",High,"1,180 sq. ft.",Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.068471,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-5328762,101.656483,"Oug Parklane, Old Klang Road","RM 375,000",High,950 sq. ft.,Freehold
Kuala Lumpur,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.045976,https://www.iproperty.com.my/property/green-suria-apartment-cheras-4735258,101.744935,"Green Suria Apartment, Bandar Tun Hussein Onn..","RM 345,300",High,"1,027 sq. ft.",Freehold
"Jalan Barat, Bandar Bukit Jalil, 57000, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.052765,https://www.iproperty.com.my/property/arena-green-bukit-jalil-5465162,101.687833,"Arena Green, Bukit Jalil","RM 375,000",High,878 sq. ft.,Freehold
"Jalan Cu 1/A, 56100, Selangor","3+1 Bedroom(s),2 Bathroom(s)",3.053655,https://www.iproperty.com.my/property/green-suria-apartment-cheras-4382021,101.766085,"Green Suria Apartment, Taman Cheras Utama, Ch..","RM 333,800",High,"1,024 sq. ft.",Freehold
"Kipark Damansara, 52200 Kepong, WP Kuala Lumpur, 52200, Kual...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.206151,https://www.iproperty.com.my/property/suria-kipark-damansara-kepong-5427780,101.609244,"Suria Kipark Damansara, Kepong","RM 335,000",High,948 sq. ft.,Freehold
"Jalan Putra 6, Bandar Menjalara, 52200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.191868,https://www.iproperty.com.my/property/plaza-medan-putra-kepong-5433432,101.624116,"Plaza Medan Putra, Kuala Lumpur, Kepong","RM 338,000",High,822 sq. ft.,Freehold
"Jalan Puri, Desa Aman Puri, 52100 Kepong, WP Kuala, 52200, K...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.212556,https://www.iproperty.com.my/property/perdana-puri-kepong-5427819,101.613417,"Perdana Puri, Kepong","RM 335,000",High,903 sq. ft.,Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s)",,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-4273919,,"Oug Parklane, Old Klang Road","RM 355,000",High,950 sq. ft.,Freehold
"Jalan Barat, Bandar Bukit Jalil, 57000, Kuala Lumpur","2 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.052765,https://www.iproperty.com.my/property/arena-green-bukit-jalil-5557767,101.687833,"Arena Green, Bukit Jalil","RM 309,998",High,680 sq. ft.,Freehold
"Jalan Barat, Bandar Bukit Jalil, 57000, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.054633,https://www.iproperty.com.my/property/arena-green-bukit-jalil-5512859,101.69134,"Arena Green, Bukit Jalil","RM 369,000",High,878 sq. ft.,Freehold
"Jalan 34/38A, Taman Sri Bintang, Bandar Manjalara, 51200, Ku...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.186158,https://www.iproperty.com.my/property/nova-ii-segambut-3307281,101.647587,"Nova Ii, Taman Sri Sinar, Nova 2, Segambut Da..","RM 325,000",High,833 sq. ft.,Freehold
